,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-02 05:00:00,1514869200,13118.1,13196.57,12999.26,13154.19,707.76734788,0.6818181818181818,0.35714285714285715,1.2792207792207793,3.324675324675325
2018-01-02 06:00:00,1514872800,13154.18,13378.42,13066.27,13370.0,344.85555533,0.63125,0.28125,1.3125,3.36875
2018-01-02 07:00:00,1514876400,13370.0,13429.25,13226.33,13424.01,303.43768808,0.46405228758169936,0.16339869281045752,1.457516339869281,3.758169934640523
2018-01-02 08:00:00,1514880000,13424.01,13588.53,13378.51,13437.71,553.54777726,0.6610169491525424,0.24293785310734464,1.384180790960452,3.096045197740113
2018-01-02 09:00:00,1514883600,13417.21,13642.0,13417.21,13571.39,710.36049874,0.4588235294117647,0.2529411764705882,1.3,3.476470588235294
2018-01-02 10:00:00,1514887200,13571.39,13700.2,13534.18,13650.18,395.19574709,2.5472636815920398,1.1890547263681592,1.4825870646766168,4.079601990049751
2018-01-02 11:00:00,1514890800,13687.52,13687.63,13503.65,13578.8,227.00878694,0.7454545454545455,0.2772727272727273,1.3272727272727274,3.918181818181818
2018-01-02 12:00:00,1514894400,13578.8,13683.69,13519.59,13630.98,266.16942571,0.7017543859649122,0.40789473684210525,1.469298245614035,3.8684210526315788
2018-01-02 13:00:00,1514898000,13589.31,14073.74,13560.72,14010.53,1099.86308299,2.6654135338345863,0.849624060150376,1.2105263157894737,3.530075187969925
2018-01-02 14:00:00,1514901600,13978.83,14019.21,13811.0,13847.03,488.89603212,0.932475884244373,0.29260450160771706,1.392282958199357,3.594855305466238
2018-01-02 15:00:00,1514905200,13834.05,13907.38,13647.54,13714.88,372.43108092,7.332236842105263,3.411184210526316,1.3717105263157894,3.4177631578947367
2018-01-02 16:00:00,1514908800,13714.82,13931.41,13650.0,13689.09,331.44357688,2.8892508143322475,0.8045602605863192,1.4136807817589576,3.1302931596091206
2018-01-02 17:00:00,1514912400,13693.65,13920.0,13645.29,13905.0,504.41107646,0.9186440677966101,0.3593220338983051,1.4576271186440677,3.522033898305085
2018-01-02 18:00:00,1514916000,13909.75,14780.26,13872.87,14596.11,2100.86362148,1.5650969529085872,0.5650969529085873,1.3628808864265929,3.3102493074792245
2018-01-02 19:00:00,1514919600,14596.68,15257.53,14570.45,14815.0,1688.27734259,2.800469483568075,1.1901408450704225,1.3215962441314555,3.5187793427230045
2018-01-02 20:00:00,1514923200,14836.0,15200.0,14815.0,14839.76,838.96387361,2.797752808988764,0.6432584269662921,1.5140449438202248,3.3202247191011236
2018-01-02 21:00:00,1514926800,14839.76,15000.0,14700.0,14802.0,653.09599278,1.2179487179487178,0.3525641025641026,1.5705128205128205,3.532051282051282
2018-01-02 22:00:00,1514930400,14802.0,15026.19,14727.51,14787.0,412.6671473,2.1505791505791505,0.803088803088803,1.4401544401544402,3.1969111969111967
2018-01-02 23:00:00,1514934000,14783.55,14914.05,14582.64,14678.94,1271.7005698,1.243801652892562,0.2809917355371901,1.3925619834710743,3.28099173553719
