,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-02,1514851200,13394.2,15257.53,12910.58,14678.94,16299.66930279,1.9702627939142463,0.7043568464730291,1.3914246196403872,3.479771784232365
2018-01-03,1514937600,14670.96,15500.0,14546.28,15155.62,12275.00119668,1.9398625429553265,1.0761168384879725,1.3146048109965636,3.4139175257731957
2018-01-04,1515024000,15155.62,15430.27,14192.37,15143.67,15004.01859256,3.431941431670282,1.209056399132321,1.2310195227765726,3.2670824295010847
2018-01-05,1515110400,15143.67,17200.0,14810.0,16928.0,16248.91467956,2.33438265127667,1.0494928296607204,1.225778244141308,3.351696397341728
2018-01-06,1515196800,16927.99,17234.99,16220.0,17149.67,9501.01675546,2.4731109598366237,1.708645336963921,1.2387111413660086,3.343544361243476
2018-01-07,1515283200,17142.43,17149.97,15707.16,16124.02,8632.81384337,2.339862007567327,0.8871578010238148,1.2270198085911417,3.369908746939684
2018-01-08,1515369600,16173.98,16300.0,13900.0,14999.99,16676.34994239,2.0864912280701753,1.189298245614035,1.3117543859649123,3.3196491228070175
2018-01-09,1515456000,14999.99,15367.18,14123.97,14403.51,13913.52469368,2.3271012295772278,1.0853966649823144,1.204143506821627,3.292066700353714
2018-01-10,1515542400,14403.51,14900.0,13412.0,14890.02,18479.01253046,2.073393002441009,0.9713588283157039,1.2475183075671277,3.2624898291293736
2018-01-11,1515628800,14899.99,14973.07,12800.0,13243.83,19630.07517112,2.060959409594096,0.8581549815498155,1.2335055350553505,3.318819188191882
2018-01-12,1515715200,13249.99,14152.19,12807.27,13781.41,13433.08481363,2.0711934869218775,0.8361337259657025,1.2752468387320284,3.3154339165078817
2018-01-13,1515801600,13829.28,14619.1,13789.42,14197.78,7488.98701847,3.0917041479260368,1.3950524737631185,1.2458770614692654,3.344327836081959
2018-01-14,1515888000,14197.78,14365.81,13072.22,13647.99,7588.63558972,2.272727272727273,1.0167216203485634,1.2534149788035798,3.3909561940650024
2018-01-15,1515974400,13647.99,14394.36,13429.25,13607.04,9444.63530824,4.439515341020129,1.5227672464334572,1.3443423881180379,3.427594293531366
2018-01-16,1516060800,13581.66,13607.04,10162.0,11386.34,38789.88308789,20.405048543689322,5.366084142394822,1.3663430420711975,3.2462135922330098
2018-01-17,1516147200,11393.97,11794.07,9222.0,11191.35,41356.1897379,3.3858480984087573,1.1877891885791672,1.5032163412707369,3.298611894819998
2018-01-18,1516233600,11199.0,12146.0,10693.0,11247.57,22195.26202056,3.5263896194985094,3.01823601613186,1.3671751709626512,3.3636682447834474
