timestamp,date,open,high,low,close,volume
1483228800,2017-01-01 00:00:00,966.34,1005.00,960.53,997.75,6850.59330859
1483315200,2017-01-02 00:00:00,997.75,1032.00,990.01,1012.54,8167.38103018
1483401600,2017-01-03 00:00:00,1011.44,1039.00,999.99,1035.24,9089.65802529
1483488000,2017-01-04 00:00:00,1035.51,1139.89,1028.56,1114.92,21562.45697196
1483574400,2017-01-05 00:00:00,1114.38,1136.72,885.41,1004.74,36018.86111991
1483660800,2017-01-06 00:00:00,1004.73,1026.99,871.00,893.89,27916.70309893
1483747200,2017-01-07 00:00:00,894.02,907.05,812.28,906.20,20401.11359103
1483833600,2017-01-08 00:00:00,906.20,941.81,881.30,909.75,8937.49270783
1483920000,2017-01-09 00:00:00,909.80,912.87,875.00,896.23,8716.18294096
1484006400,2017-01-10 00:00:00,896.09,912.47,889.41,905.05,8535.52168810
1484092800,2017-01-11 00:00:00,905.24,918.40,755.00,778.62,35893.76836795
1484179200,2017-01-12 00:00:00,778.70,832.99,751.34,807.47,17400.14155465
1484265600,2017-01-13 00:00:00,807.51,831.40,775.00,825.86,11409.52033002
1484352000,2017-01-14 00:00:00,825.98,837.76,810.00,818.27,6614.71899162
1484438400,2017-01-15 00:00:00,819.52,823.45,808.00,821.86,4231.46390349
1484524800,2017-01-16 00:00:00,821.86,835.00,818.09,831.81,6166.04397741
1484611200,2017-01-17 00:00:00,831.76,908.50,827.00,905.99,12264.16938457
1484697600,2017-01-18 00:00:00,905.95,915.99,851.74,887.70,11181.89887846
1484784000,2017-01-19 00:00:00,887.69,910.00,878.89,901.01,11094.60329761
1484870400,2017-01-20 00:00:00,902.23,902.43,880.00,895.80,6618.62776406
1484956800,2017-01-21 00:00:00,895.81,928.00,895.00,921.98,5865.63203056
1485043200,2017-01-22 00:00:00,921.98,937.74,886.76,923.76,7166.66547890
1485129600,2017-01-23 00:00:00,923.75,927.57,913.21,913.52,3514.74142946
1485216000,2017-01-24 00:00:00,913.15,923.00,881.48,885.47,9405.04656500
1485302400,2017-01-25 00:00:00,885.47,904.01,884.50,893.43,5291.55474211
1485388800,2017-01-26 00:00:00,893.25,919.49,892.86,914.83,5164.89701990
1485475200,2017-01-27 00:00:00,914.95,924.88,908.01,918.02,4830.53516221
1485561600,2017-01-28 00:00:00,918.02,920.99,913.08,918.60,1175.86352983
1485648000,2017-01-29 00:00:00,918.60,919.99,910.45,912.01,1349.01480033
1485734400,2017-01-30 00:00:00,913.12,923.00,910.00,919.99,3121.18754443
1485820800,2017-01-31 00:00:00,919.99,970.00,917.50,963.99,9507.10183224
1485907200,2017-02-01 00:00:00,963.99,986.96,962.00,983.67,6954.39947163
1485993600,2017-02-02 00:00:00,983.79,1011.65,973.12,1009.17,8269.68053649
1486080000,2017-02-03 00:00:00,1009.15,1022.64,987.01,1016.99,10928.02422131
1486166400,2017-02-04 00:00:00,1015.06,1044.23,1004.00,1033.18,5752.28733969
1486252800,2017-02-05 00:00:00,1033.72,1034.60,1004.70,1011.07,4348.17045024
1486339200,2017-02-06 00:00:00,1010.03,1031.94,1005.10,1023.99,5080.84835472
1486425600,2017-02-07 00:00:00,1024.00,1056.25,1021.30,1052.48,5372.13262530
1486512000,2017-02-08 00:00:00,1052.48,1070.00,1025.00,1050.40,9633.26465194
1486598400,2017-02-09 00:00:00,1051.73,1074.69,913.73,986.00,25150.07016403
1486684800,2017-02-10 00:00:00,985.71,1010.68,950.00,996.08,10731.29006905
1486771200,2017-02-11 00:00:00,995.49,1020.00,987.62,1012.40,4472.51261675
1486857600,2017-02-12 00:00:00,1011.01,1011.97,991.98,1000.73,2683.99735828
1486944000,2017-02-13 00:00:00,1000.73,1007.89,975.10,1000.79,4547.26036851
1487030400,2017-02-14 00:00:00,1000.74,1019.00,987.97,1008.88,6761.10806309
1487116800,2017-02-15 00:00:00,1008.88,1013.80,1000.97,1011.53,3095.66000003
1487203200,2017-02-16 00:00:00,1011.53,1043.21,1010.75,1032.70,5996.10412989
1487289600,2017-02-17 00:00:00,1032.91,1064.99,1031.98,1055.46,6085.02260605
1487376000,2017-02-18 00:00:00,1055.75,1068.99,1046.14,1056.40,4474.94930623
1487462400,2017-02-19 00:00:00,1056.40,1061.90,1039.07,1051.80,2270.84991160
1487548800,2017-02-20 00:00:00,1051.80,1089.99,1044.39,1084.00,3664.37368596
1487635200,2017-02-21 00:00:00,1084.00,1126.86,1077.00,1124.62,8395.47371599
1487721600,2017-02-22 00:00:00,1124.83,1143.00,1098.16,1130.01,11673.08926566
1487808000,2017-02-23 00:00:00,1130.02,1193.92,1120.73,1188.11,11753.23856018
1487894400,2017-02-24 00:00:00,1183.53,1220.00,1091.10,1180.14,19598.23102576
1487980800,2017-02-25 00:00:00,1180.05,1184.73,1127.00,1152.20,6238.43763039
